train_fraction,split_method,group_column,feature_kind,n_features,model,split,metric,value,heldout_group_value
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,r2,0.9313505760109804,COc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9632087301322758,COc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,rmse,15.134682935229755,COc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,mae,11.614993893970366,COc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,r2,-3.63401819825693,COc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,spearman,0.756161934174708,COc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,rmse,16.203305301277325,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,mae,12.996991457412559,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,r2,0.6758417306827718,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,spearman,0.8562993724507878,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,rmse,11.397440138785434,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,mae,9.20062489468943,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,r2,0.5935981243411457,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,spearman,0.7772239936504164,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,rmse,6.569438100835963,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,mae,4.3487408607054325,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,r2,0.9467148337846085,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9698070989966304,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,rmse,8.872514423480244,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,mae,6.179242777566736,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,r2,0.7537169677936482,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,spearman,0.8434893878455234,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,rmse,15.96279394372928,Cc1ccc(N)cc1.Clc1ccccn1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,mae,13.033334115292968,Cc1ccc(N)cc1.Clc1ccccn1
