search,seed,train_fraction,mae_baseline,mae_augmented,mae_delta_aug_minus_base,rmse_baseline,rmse_augmented,rmse_delta_aug_minus_base,r2_baseline,r2_augmented,r2_delta_aug_minus_base,spearman_baseline,spearman_augmented,spearman_delta_aug_minus_base
ensemble_filter,1,0.05,12.342318603289549,12.196955472997042,-0.14536313029250714,16.55774246979803,16.324063669765472,-0.23367880003255692,0.6539780248553229,0.6636758960619913,0.00969787120666843,0.8122593355865017,0.8175682908647287,0.005308955278227057
ensemble_filter,1,0.1,10.513744277920988,10.258212826153772,-0.2555314517672169,14.883098144184174,14.493813622680264,-0.38928452150391024,0.7204315715997038,0.7348651730307485,0.014433601431044663,0.8443472858710793,0.8543062150101354,0.00995892913905605
ensemble_filter,1,0.2,8.278635127001932,,,12.4617201901607,,,0.8039993891283472,,,0.8886089032812491,,
ensemble_filter,1,0.5,6.118204065584861,,,8.880818737719686,,,0.9004577516913692,,,0.9416886969545512,,
ensemble_filter,2,0.01,16.550916179022707,14.443560813897186,-2.107355365125521,20.68056536152383,18.757583425760092,-1.9229819357637368,0.4199452432971553,0.522802728931388,0.10285748563423269,0.7029881709700735,0.774270261963107,0.07128209099303351
ensemble_filter,2,0.05,10.244078447893262,10.31163686236197,0.06755841446870825,14.331114808580864,14.330402007401196,-0.0007128011796684319,0.7214493806264612,0.7214770890462133,2.7708419752081603e-05,0.8584009908781126,0.8549836806928549,-0.003417310185257705
ensemble_filter,2,0.1,8.903939611971039,9.193459525997516,0.2895199140264779,12.428742500120634,12.682545563246313,0.25380306312567846,0.7904929900270639,0.7818490841869751,-0.008643905840088784,0.8982995657675791,0.8961661143969728,-0.0021334513706062763
ensemble_filter,2,0.2,7.388461782068456,,,10.565779896696446,,,0.8485925320082873,,,0.927407194259926,,
ensemble_filter,2,0.5,5.227920574452163,,,7.69374918265114,,,0.9197176223094728,,,0.9591121099132092,,
ensemble_filter,3,0.01,18.968947937508123,17.930924235135883,-1.0380237023722394,23.77310236097764,22.759506836570832,-1.0135955244068064,0.2799442945581152,0.3400362677267726,0.06009197316865739,0.5503922950425927,0.6268903751183578,0.07649808007576508
ensemble_filter,3,0.05,11.153958847441457,10.87050936149452,-0.283449485946937,14.838119806132346,14.120560911816664,-0.7175588943156814,0.7194875625217979,0.7459622413281606,0.026474678806362673,0.8541249468079303,0.869704832837644,0.015579886029713719
ensemble_filter,3,0.1,9.683216991282322,9.595803340987274,-0.08741365029504777,13.692595252617505,13.577710997760612,-0.11488425485689291,0.7611276309090029,0.7651192114996789,0.003991580590675947,0.8720289501444871,0.8732538632571488,0.0012249131126617074
ensemble_filter,3,0.2,8.019202007213325,,,11.661122593265356,,,0.8267492603183624,,,0.9011612431597418,,
ensemble_filter,3,0.5,5.576583093195739,,,8.33527426091497,,,0.9114814759756356,,,0.94952323233365,,
ensemble_filter,4,0.01,19.02167244643575,18.62941183921364,-0.39226060722211287,23.814272922587943,23.11857928980139,-0.6956936327865542,0.2745569008202,0.3163229771029832,0.04176607628278317,0.5892817566052866,0.6129558272106997,0.023674070605413156
ensemble_filter,4,0.05,11.99052657693474,11.704675168931631,-0.2858514080031096,15.709478216159292,15.613820750206164,-0.09565746595312774,0.6843162539541341,0.6881490443379681,0.003832790383833995,0.8407224708452423,0.8486887436201836,0.00796627277494133
ensemble_filter,4,0.1,10.24306725368054,10.045316425790691,-0.19775082788984832,13.890296800685636,13.587344306605418,-0.30295249408021796,0.7531962512627106,0.7638446101445355,0.010648358881824915,0.8677111355033881,0.8773785726583551,0.009667437154966985
ensemble_filter,4,0.2,8.18071184447468,,,11.52915815305667,,,0.8299706501473912,,,0.9145637881909396,,
ensemble_filter,4,0.5,5.677790705318224,,,8.4713413617939,,,0.9082020324867496,,,0.951179887615473,,
